         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
2013-Sep-20 09:11:16         4171693.97233        872117.53398       4730015.03429       11.80796       48.17154      533.09677          -3.02276           4.40094           8.50611          -1.20980           0.80488          -0.48942                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171693.33830        872116.34933       4730014.33700       11.80795       48.17154      532.00164          -4.05260           4.57900           7.41098          -2.23964           0.98294          -1.58455                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171693.05315        872118.15688       4730014.15668       11.80798       48.17154      531.92781          -2.22494           4.39110           7.33715          -0.41198           0.79504          -1.65838                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171692.12670        872118.20356       4730011.97295       11.80798       48.17153      529.70220          -1.98967           3.60338           5.11154          -0.17671           0.00732          -3.88399                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171696.84323        872121.85875       4730020.07446       11.80801       48.17154      539.31673           0.62302           5.00884          14.72607           2.43598           1.41277           5.73054                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171693.35432        872119.69457       4730016.43049       11.80800       48.17155      534.02857          -0.78142           5.45339           9.43792           1.03154           1.85733           0.44238                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171693.12694        872119.79577       4730015.98216       11.80800       48.17155      533.55988          -0.63583           5.30481           8.96922           1.17713           1.70875          -0.02631                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171696.96879        872121.82141       4730019.17596       11.80801       48.17154      538.72409           0.56077           4.32373          14.13343           2.37373           0.72767           5.13790                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171694.15949        872120.93965       4730016.49439       11.80801       48.17154      534.77171           0.27255           4.71888          10.18105           2.08550           1.12282           1.18552                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171693.75614        872120.79377       4730017.69730       11.80801       48.17155      535.38484           0.21229           5.83754          10.79418           2.02525           2.24148           1.79865                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171695.61533        872122.42037       4730020.91833       11.80802       48.17156      539.22062           1.42402           6.38158          14.62996           3.23698           2.78552           5.63443                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171694.88778        872121.15270       4730019.60309       11.80801       48.17155      537.59264           0.33206           6.22839          13.00198           2.14502           2.63233           4.00645                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171693.43914        872118.88386       4730017.86310       11.80798       48.17156      535.04081          -1.59233           6.47055          10.45015           0.22063           2.87448           1.45462                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171692.22580        872118.12648       4730014.50631       11.80798       48.17154      531.64410          -2.08540           5.23236           7.05344          -0.27244           1.63630          -1.94209                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171694.15704        872116.07742       4730015.59062       11.80795       48.17154      533.43313          -4.48630           4.85933           8.84247          -2.67334           1.26327          -0.15306                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171693.05163        872116.15088       4730014.39550       11.80795       48.17154      531.83101          -4.18818           4.85737           7.24035          -2.37522           1.26131          -1.75518                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171691.44820        872115.16638       4730012.34165       11.80794       48.17154      529.11954          -4.82374           4.80727           4.52888          -3.01078           1.21121          -4.46665                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171685.37039        872113.72974       4730008.72245       11.80794       48.17156      522.25911          -4.98626           7.04568          -2.33155          -3.17330           3.44962         -11.32708                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171690.06034        872116.43183       4730013.82510       11.80796       48.17156      529.49163          -3.30106           6.61590           4.90098          -1.48811           3.01984          -4.09455                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171691.23714        872116.64891       4730014.88922       11.80796       48.17156      531.08239          -3.32939           6.43413           6.49173          -1.51643           2.83807          -2.50380                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171693.21171        872117.89698       4730015.57287       11.80797       48.17154      533.05111          -2.51180           5.25955           8.46046          -0.69884           1.66349          -0.53507                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171690.94846        872116.12466       4730012.76005       11.80795       48.17155      529.23586          -3.78347           5.30468           4.64520          -1.97051           1.70861          -4.35033                 7                 3                 4              2.38
2013-Sep-20 09:11:16         4171691.01303        872116.67548       4730012.29188       11.80796       48.17154      529.00432          -3.25752           4.86136           4.41366          -1.44456           1.26530          -4.58187                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171686.92529        872115.59058       4730009.79479       11.80796       48.17155      524.32713          -3.48298           6.34298          -0.26352          -1.67003           2.74693          -9.25905                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171689.09965        872117.40230       4730013.21592       11.80798       48.17156      528.54302          -2.15454           6.76235           3.95236          -0.34158           3.16630          -5.04317                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171693.82864        872118.34509       4730017.17592       11.80798       48.17155      534.70949          -2.19941           5.81033          10.11883          -0.38645           2.21427           1.12330                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171691.85980        872118.16204       4730017.17833       11.80798       48.17156      533.40107          -1.97569           7.27587           8.81041          -0.16274           3.67981          -0.18512                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171691.77791        872117.74707       4730016.15426       11.80797       48.17156      532.52790          -2.36513           6.71592           7.93724          -0.55217           3.11986          -1.05829                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171690.71021        872117.27718       4730014.77869       11.80797       48.17156      530.74179          -2.60659           6.64895           6.15114          -0.79363           3.05288          -2.84440                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171689.81704        872118.53772       4730015.06359       11.80799       48.17156      530.54306          -1.18995           7.29820           5.95240           0.62301           3.70214          -3.04313                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171691.55376        872116.79531       4730016.19778       11.80796       48.17156      532.28412          -3.25088           7.05356           7.69347          -1.43793           3.45749          -1.30207                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171693.82776        872118.45535       4730018.91249       11.80798       48.17156      536.01796          -2.09131           6.95229          11.42730          -0.27835           3.35622           2.43177                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171694.19655        872118.91481       4730019.87640       11.80798       48.17156      537.03965          -1.71703           7.25607          12.44900           0.09593           3.66001           3.45347                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171691.86539        872117.99083       4730016.02995       11.80798       48.17156      532.52565          -2.14443           6.53204           7.93499          -0.33147           2.93598          -1.06054                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171693.15533        872117.98759       4730017.59780       11.80797       48.17156      534.53554          -2.41156           6.63729           9.94488          -0.59860           3.04122           0.94935                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171692.18121        872115.90348       4730016.83466       11.80795       48.17156      533.04657          -4.25223           7.15664           8.45591          -2.43927           3.56057          -0.53962                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171688.42657        872114.52355       4730012.03638       11.80794       48.17156      526.83185          -4.83464           6.90560           2.24119          -3.02169           3.30954          -6.75434                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171686.83368        872114.31800       4730010.30785       11.80794       48.17156      524.47597          -4.70988           6.94600          -0.11468          -2.89693           3.34994          -9.11022                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171689.01630        872114.65818       4730011.81674       11.80794       48.17155      527.07153          -4.82353           6.30846           2.48087          -3.01057           2.71240          -6.51466                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171689.59940        872113.40135       4730012.50944       11.80792       48.17156      527.79681          -6.17309           6.53677           3.20615          -4.36014           2.94071          -5.78938                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171691.49667        872115.40807       4730015.71094       11.80794       48.17156      531.69477          -4.59708           6.98205           7.10411          -2.78412           3.38598          -1.89142                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171690.13679        872116.03487       4730014.42512       11.80796       48.17156      529.93447          -3.70527           7.02083           5.34381          -1.89231           3.42477          -3.65172                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171688.48177        872115.80343       4730011.69753       11.80796       48.17156      526.79005          -3.59313           6.44420           2.19940          -1.78018           2.84814          -6.79613                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171691.34954        872115.59222       4730014.29031       11.80795       48.17155      530.56528          -4.38672           6.11386           5.97463          -2.57377           2.51780          -3.02091                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171692.31645        872117.07132       4730015.85773       11.80796       48.17155      532.56628          -3.13678           6.22840           7.97562          -1.32382           2.63234          -1.01991                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171693.22291        872119.00896       4730017.72048       11.80799       48.17156      534.81045          -1.42563           6.51407          10.21980           0.38733           2.91801           1.22427                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171692.72321        872118.13057       4730016.70730       11.80798       48.17155      533.60942          -2.18318           6.33679           9.01876          -0.37022           2.74073           0.02323                 7                 3                 4              2.38
2013-Sep-20 09:11:17         4171693.24503        872117.69714       4730017.55960       11.80797       48.17156      534.52598          -2.71422           6.59068           9.93533          -0.90126           2.99461           0.93980                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171691.08816        872116.06995       4730015.06700       11.80795       48.17156      531.03859          -3.86561           6.74964           6.44794          -2.05265           3.15358          -2.54760                 7                 3                 4              2.38
2013-Sep-20 09:11:18         4171690.44418        872115.43965       4730013.68149       11.80795       48.17156      529.49979          -4.35079           6.39145           4.90913          -2.53783           2.79539          -4.08640                 7                 3                 4              2.38
