         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
2013-Sep-20 09:11:06         4171690.09174        872117.69124       4730009.42695       11.80798       48.17153      526.40674          -2.07473           3.46782           1.81609          -3.26635           1.54475         -11.95848                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171695.90195        872122.87945       4730017.22237       11.80803       48.17153      536.71635           1.81473           3.63768          12.12569           0.62312           1.71460          -1.64887                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171695.87749        872123.03123       4730016.66439       11.80803       48.17153      536.30532           1.96830           3.26026          11.71466           0.77668           1.33718          -2.05990                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171695.91773        872123.24279       4730016.35685       11.80803       48.17152      536.13130           2.16715           2.99355          11.54064           0.97554           1.07047          -2.23392                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171695.80487        872123.64854       4730016.04804       11.80804       48.17152      535.88289           2.58741           2.80805          11.29223           1.39580           0.88497          -2.48233                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171696.04572        872123.57449       4730016.18529       11.80804       48.17152      536.13228           2.46564           2.73520          11.54162           1.27403           0.81213          -2.23294                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171696.85509        872123.52515       4730015.79008       11.80804       48.17151      536.35940           2.25173           1.88882          11.76875           1.06011          -0.03425          -2.00582                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171696.91214        872123.33123       4730015.96118       11.80803       48.17152      536.49768           2.05024           1.99089          11.90702           0.85862           0.06781          -1.86754                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171696.23707        872123.07517       4730016.02781       11.80803       48.17152      536.07170           1.93773           2.56675          11.48104           0.74612           0.64368          -2.29352                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171696.58685        872123.30575       4730016.13060       11.80803       48.17152      536.40809           2.09185           2.34502          11.81744           0.90024           0.42194          -1.95712                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171696.87751        872123.33042       4730016.34070       11.80803       48.17152      536.75776           2.05653           2.26937          12.16711           0.86491           0.34630          -1.60746                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171696.53195        872123.66688       4730015.87975       11.80804       48.17152      536.23462           2.45658           2.16271          11.64396           1.26497           0.23963          -2.13060                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171696.57287        872123.68392       4730016.09343       11.80804       48.17152      536.42288           2.46489           2.27277          11.83222           1.27327           0.34969          -1.94234                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171697.02839        872123.70216       4730016.50696       11.80804       48.17152      537.03087           2.38953           2.21352          12.44021           1.19791           0.29045          -1.33435                 8                 8                 0              1.77
2013-Sep-20 09:11:06         4171697.69570        872123.58690       4730016.57371       11.80803       48.17151      537.50049           2.14015           1.78890          12.90984           0.94853          -0.13418          -0.86472                 8                 8                 0              1.77
