         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
1999-Aug-27 09:09:17         4171696.06632        872121.00018       4730014.78492       11.80800       48.17152      534.75093          -0.05841           2.17880          10.16027           0.50199           0.85511          -0.63258                 8                 0                 8              2.00
1999-Aug-27 09:09:17         4171695.88605        872119.68584       4730014.82036       11.80799       48.17152      534.48029          -1.30804           2.53433           9.88964          -0.74764           1.21065          -0.90322                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171696.40670        872119.79288       4730014.34609       11.80799       48.17151      534.48137          -1.30981           1.82197           9.89072          -0.74941           0.49829          -0.90214                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171698.20885        872120.51947       4730014.34802       11.80799       48.17150      535.75840          -0.96738           0.39802          11.16774          -0.40698          -0.92567           0.37488                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171702.27793        872120.49428       4730015.18457       11.80798       48.17148      539.03457          -1.82470          -2.00813          14.44391          -1.26430          -3.33182           3.65105                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171699.74782        872120.39698       4730014.70421       11.80799       48.17149      537.01172          -1.40220          -0.46825          12.42107          -0.84180          -1.79194           1.62821                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171699.15761        872121.32123       4730014.44286       11.80800       48.17149      536.55782          -0.37673          -0.35299          11.96717           0.18367          -1.67667           1.17431                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171695.94636        872120.49857       4730012.84683       11.80800       48.17151      533.16001          -0.52485           1.05026           8.56935           0.03555          -0.27343          -2.22350                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171695.25129        872119.76318       4730014.45124       11.80799       48.17152      533.80143          -1.10245           2.73935           9.21077          -0.54205           1.41567          -1.58208                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171695.16469        872121.05173       4730014.78341       11.80801       48.17152      534.16826           0.17655           2.82756           9.57760           0.73695           1.50387          -1.21525                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171696.64867        872121.19256       4730016.40527       11.80801       48.17152      536.36473           0.01073           2.80533          11.77407           0.57113           1.48165           0.98122                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171692.76552        872120.73763       4730014.38277       11.80801       48.17154      532.26070           0.36005           4.35816           7.67005           0.92045           3.03448          -3.12281                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171695.49138        872121.53628       4730018.18595       11.80801       48.17154      536.98304           0.58400           4.78456          12.39238           1.14439           3.46088           1.59952                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171696.93316        872121.12598       4730017.43636       11.80800       48.17153      537.30967          -0.11265           3.29562          12.71901           0.44775           1.97193           1.92616                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171697.35095        872121.67098       4730018.84384       11.80801       48.17153      538.70555           0.33532           3.84645          14.11490           0.89572           2.52276           3.32204                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171698.89293        872121.22674       4730019.31976       11.80800       48.17153      540.00615          -0.41506           3.10689          15.41549           0.14534           1.78320           4.62263                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171699.15121        872121.54749       4730016.54754       11.80800       48.17151      538.15281          -0.15395           1.02080          13.56216           0.40645          -0.30289           2.76930                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171694.90892        872119.71605       4730013.67957       11.80799       48.17152      532.99650          -1.07852           2.48162           8.40584          -0.51812           1.15794          -2.38701                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171692.41588        872119.13610       4730013.11721       11.80799       48.17153      530.87088          -1.13603           4.01338           6.28022          -0.57564           2.68970          -4.51264                 8                 0                 8              2.00
1999-Aug-27 09:09:18         4171699.63356        872120.55401       4730014.57715       11.80799       48.17149      536.86388          -1.22511          -0.49359          12.27323          -0.66471          -1.81728           1.48037                 8                 0                 8              2.00
